[-0.34796753  1.28843049 -0.19118626 -1.01138847  0.13101413 -0.89484858] -288.52952248070915
[ 3.70787128  0.09968338  0.57936013  2.61404915  1.31080955 -0.26183233] -265.2406509967109
[ 3.62735106  0.03456607  0.58824327  2.67105237  1.33407594 -0.30341514] -265.2418229107943
[ 3.62375124  0.08403903  0.5714763   2.61442455  1.25927642 -0.28516236] -265.2384987945037
[ 3.59317236  0.14049512  0.56257217  2.57189176  1.21032869 -0.27166769] -265.247457050487
[ 3.67651094  0.05658074  0.56924052  2.7057784   1.3607335  -0.18020896] -265.2469873172737
[ 3.64166506  0.02910664  0.58219213  2.63372587  1.28263726 -0.33314181] -265.23996844228895
[ 3.68209308  0.08062783  0.54941368  2.63363369  1.33078793 -0.25618918] -265.24359374309563
[ 3.62050741  0.02942935  0.60180427  2.59097089  1.27251342 -0.36796214] -265.2426299662029
[ 3.62962435  0.11260583  0.57798097  2.60152655  1.27365131 -0.31753714] -265.2358201851629
[ 3.61218404  0.17328078  0.57720509  2.57258754  1.24912119 -0.33039734] -265.2408178295227
[ 3.59454666  0.03389324  0.61762247  2.61659507  1.2465294  -0.37361405] -265.2464482380539
[ 3.66020647  0.06894418  0.56646587  2.62937403  1.30972329 -0.28554539] -265.23798121971066
[ 3.66936536  0.09826334  0.55345241  2.67205891  1.31720719 -0.23436883] -265.2416076916548
[ 3.67652646  0.11435904  0.55541646  2.59231294  1.25002176 -0.2759004 ] -265.24347334848295
[ 3.63964491  0.05451431  0.58003657  2.65136752  1.31306239 -0.29653646] -265.23795375462555
[ 3.62460536  0.03607876  0.5990687   2.58440927  1.26550891 -0.36566925] -265.2424129932284
[ 3.65817536  0.08271719  0.56485648  2.6501465   1.30428262 -0.26719394] -265.23743302079544
[ 3.65780909  0.12310565  0.56455043  2.62821586  1.30729395 -0.24491364] -265.2362379473852
[ 3.60271703  0.12149242  0.56237739  2.61936565  1.27929905 -0.28343857] -265.2408967354027
[ 3.66594434  0.07073534  0.57515296  2.63408093  1.30217297 -0.28250295] -265.23629835875846
[ 3.68005027  0.08683514  0.57153813  2.65047924  1.3441191  -0.27958081] -265.2384010353088
[ 3.66597551  0.08613611  0.57152267  2.64146557  1.32290843 -0.2809762 ] -265.2365326671765
